airline,date_of_journey,source,destination,dep_time,arrival_time,duration,total_stops,additional_info,price
Spicejet,2019-06-21,Bangalore,Delhi,2024-12-03 21:10:00,2024-06-22 00:05:00,175,0,No check-in baggage included,3919
Indigo,2019-03-03,Bangalore,Delhi,2024-12-03 12:10:00,2024-12-03 17:05:00,295,1,No Info,8738
Indigo,2019-06-09,Chennai,Kolkata,2024-12-03 13:15:00,2024-12-03 15:35:00,140,0,No Info,3597
Jet Airways,2019-05-21,Kolkata,Bangalore,2024-12-03 08:25:00,2024-12-03 19:50:00,685,1,No Info,14781
Spicejet,2019-04-06,Kolkata,Bangalore,2024-12-03 06:55:00,2024-12-03 09:30:00,155,0,No check-in baggage included,3841
Vistara,2019-03-24,Kolkata,Bangalore,2024-12-03 07:10:00,2024-12-03 22:10:00,900,1,No Info,12942
Jet Airways,2019-06-12,Kolkata,Bangalore,2024-12-03 14:05:00,2024-06-13 12:00:00,1315,1,In-flight meal not included,8529
Spicejet,2019-06-09,Kolkata,Bangalore,2024-12-03 11:35:00,2024-12-03 18:50:00,435,1,No Info,8479
Jet Airways,2019-05-15,Kolkata,Bangalore,2024-12-03 09:35:00,2024-12-03 18:00:00,505,1,In-flight meal not included,12384
Jet Airways,2019-05-12,Kolkata,Bangalore,2024-12-03 08:25:00,2024-05-13 08:15:00,1430,1,No Info,13941
Indigo,2019-05-06,Bangalore,Delhi,2024-12-03 07:10:00,2024-12-03 10:05:00,175,0,No Info,4823
Vistara,2019-05-18,Bangalore,Delhi,2024-12-03 21:00:00,2024-12-03 23:50:00,170,0,No Info,4668
Jet Airways,2019-06-01,Bangalore,Delhi,2024-12-03 06:00:00,2024-12-03 08:45:00,165,0,No Info,8016
Air India,2019-06-18,Mumbai,Hyderabad,2024-12-03 19:30:00,2024-12-03 20:45:00,75,0,No Info,3100
Jet Airways,2019-05-18,Mumbai,Hyderabad,2024-12-03 02:55:00,2024-12-03 04:20:00,85,0,No Info,5678
Indigo,2019-03-09,Delhi,Cochin,2024-12-03 07:30:00,2024-12-03 21:00:00,810,1,No Info,12351
Jet Airways,2019-06-06,Delhi,Cochin,2024-12-03 09:00:00,2024-12-03 19:00:00,600,1,No Info,14714
Jet Airways,2019-03-12,Bangalore,Delhi,2024-12-03 22:55:00,2024-03-13 11:25:00,750,1,In-flight meal not included,11087
Multiple Carriers,2019-03-06,Delhi,Cochin,2024-12-03 07:30:00,2024-12-03 18:50:00,680,1,No Info,15411
Indigo,2019-04-27,Bangalore,Delhi,2024-12-03 18:25:00,2024-12-03 21:20:00,175,0,No Info,4823
Multiple Carriers,2019-03-21,Delhi,Cochin,2024-12-03 16:00:00,2024-03-22 01:35:00,575,1,No Info,13542
Jet Airways,2019-06-15,Delhi,Cochin,2024-12-03 09:40:00,2024-12-03 19:00:00,560,2,In-flight meal not included,10368
Jet Airways,2019-06-09,Kolkata,Bangalore,2024-12-03 09:35:00,2024-12-03 19:10:00,575,1,In-flight meal not included,13994
Indigo,2019-05-03,Bangalore,Delhi,2024-12-03 20:00:00,2024-12-03 22:50:00,170,0,No Info,4823
Jet Airways,2019-05-18,Delhi,Cochin,2024-12-03 17:30:00,2024-05-19 19:00:00,1530,1,In-flight meal not included,12373
Jet Airways,2019-06-24,Bangalore,Delhi,2024-12-03 11:10:00,2024-12-03 14:05:00,175,0,In-flight meal not included,5769
Jet Airways,2019-06-24,Delhi,Cochin,2024-12-03 09:40:00,2024-06-25 12:35:00,1615,2,No Info,13014
